曲ID,曲名,親曲名,親曲ID,種別,発売日,円盤タイトル,円盤グループID,目視確認,表記揺れ,YouTube（MV/音源）,YouTube（ライブ）,Spotify,Apple Music,iTunes,初収録,他収録円盤
1,センチメンタルピリオド,センチメンタルピリオド,1,オリジナル,2008/07/23,センチメンタルピリオド,period_1st_Single_20080723,,,,,,,,,
2,5分後のスターダスト,5分後のスターダスト,2,オリジナル,2008/07/23,センチメンタルピリオド,period_1st_Single_20080723,,,,,,,,,
3,ガリレオのショーケース,ガリレオのショーケース,3,オリジナル,2008/07/23,センチメンタルピリオド,period_1st_Single_20080723,,,,,,,,,
4,マスターボリューム,マスターボリューム,4,オリジナル,2009/01/28,マスターボリューム,mastervolume_2nd_Single_20090128,,,,,,,,,
5,一人思うは雨の中,一人思うは雨の中,5,オリジナル,2009/01/28,マスターボリューム,mastervolume_2nd_Single_20090128,,,,,,,,,
6,スノウリバース,スノウリバース,6,オリジナル,2009/01/28,マスターボリューム,mastervolume_2nd_Single_20090128,,,,,,,,,
7,カラクリカルカレ,カラクリカルカレ,7,オリジナル,2009/04/15,UNISON SQUARE GARDEN,UNISON_SQUARE_GARDEN_1st_Album_20090415,,,,,,,,,
8,サンポサキマイライフ,サンポサキマイライフ,8,オリジナル,2009/04/15,UNISON SQUARE GARDEN,UNISON_SQUARE_GARDEN_1st_Album_20090415,,,,,,,,,
9,デイライ協奏楽団,デイライ協奏楽団,9,オリジナル,2009/04/15,UNISON SQUARE GARDEN,UNISON_SQUARE_GARDEN_1st_Album_20090415,,,,,,,,,
10,等身大の地球,等身大の地球,10,オリジナル,2009/04/15,UNISON SQUARE GARDEN,UNISON_SQUARE_GARDEN_1st_Album_20090415,,,,,,,,,
11,MR. アンディ -party style-,MR. アンディ -party style-,138,style,2009/04/15,UNISON SQUARE GARDEN,UNISON_SQUARE_GARDEN_1st_Album_20090415,,,,,,,,,
12,WINDOW開ける,WINDOW開ける,12,オリジナル,2009/04/15,UNISON SQUARE GARDEN,UNISON_SQUARE_GARDEN_1st_Album_20090415,,,,,,,,,
13,いつかの少年,いつかの少年,13,オリジナル,2009/04/15,UNISON SQUARE GARDEN,UNISON_SQUARE_GARDEN_1st_Album_20090415,,,,,,,,,
14,箱庭ロック・ショー,箱庭ロック・ショー,14,オリジナル,2009/04/15,UNISON SQUARE GARDEN,UNISON_SQUARE_GARDEN_1st_Album_20090415,,,,,,,,,
15,クローバー,クローバー,15,オリジナル,2009/04/15,UNISON SQUARE GARDEN,UNISON_SQUARE_GARDEN_1st_Album_20090415,,,,,,,,,
16,cody beats,cody beats,16,オリジナル,2010/02/10,cody beats,cody_beats_3rd_Single_20100210,,,,,,,,,
17,ギャクテンサヨナラ,ギャクテンサヨナラ,17,オリジナル,2010/02/10,cody beats,cody_beats_3rd_Single_20100210,,,,,,,,,
18,空の飛び方,空の飛び方,18,オリジナル,2010/02/10,cody beats,cody_beats_3rd_Single_20100210,,,,,,,,,
19,メッセンジャーフロム全世界,メッセンジャーフロム全世界,19,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
20,コーヒーカップシンドローム,コーヒーカップシンドローム,20,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
21,チャイルドフッド・スーパーノヴァ,チャイルドフッド・スーパーノヴァ,21,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
22,気まぐれ雑踏,気まぐれ雑踏,22,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
23,キライ = キライ,キライ = キライ,23,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
24,ライドオンタイム,ライドオンタイム,24,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
25,meet the world time,meet the world time,25,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
26,夜が揺れている,夜が揺れている,26,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
27,アイラブニージュー,アイラブニージュー,27,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
28,スノウアンサー,スノウアンサー,28,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
29,"""23:25""","""23:25""",29,オリジナル,2010/04/07,JET CO.,JET_CO_2nd_Album_20100407,,,,,,,,,
30,スカースデイル,スカースデイル,30,オリジナル,2010/11/24,スカースデイル,Scarsdale_4th_Single_20101124,,,,,,,,,
31,カウンターアイデンティティ,カウンターアイデンティティ,31,オリジナル,2010/11/24,スカースデイル,Scarsdale_4th_Single_20101124,,,,,,,,,
32,さよなら第九惑星,さよなら第九惑星,32,オリジナル,2010/11/24,スカースデイル,Scarsdale_4th_Single_20101124,,,,,,,,,
33,オリオンをなぞる,オリオンをなぞる,33,オリジナル,2011/05/11,オリオンをなぞる,Orion_5th_Single_20110511,,,,,,,,,
34,僕は君になりたい,僕は君になりたい,34,オリジナル,2011/05/11,オリオンをなぞる,Orion_5th_Single_20110511,,,,,,,,,
35,UNOストーリー,UNOストーリー,35,オリジナル,2011/05/11,オリオンをなぞる,Orion_5th_Single_20110511,,,,,,,,,
36,over driver,over driver,36,オリジナル,2011/05/11,オリオンをなぞる,Orion_5th_Single_20110511,,,,,,,,,
37,3 minutes replay,3 minutes replay,37,オリジナル,2011/07/06,Populus Populus,Populus_Populus_3rd_Full_Album_20110706,,,,,,,,,
38,"kid,I like quartet","kid,I like quartet",38,オリジナル,2011/07/06,Populus Populus,Populus_Populus_3rd_Full_Album_20110706,,,,,,,,,
39,プロトラクト・カウントダウン,プロトラクト・カウントダウン,39,オリジナル,2011/07/06,Populus Populus,Populus_Populus_3rd_Full_Album_20110706,,,,,,,,,
40,きみのもとへ,きみのもとへ,40,オリジナル,2011/07/06,Populus Populus,Populus_Populus_3rd_Full_Album_20110706,,,,,,,,,
41,僕らのその先,僕らのその先,41,オリジナル,2011/07/06,Populus Populus,Populus_Populus_3rd_Full_Album_20110706,,,,,,,,,
42,ワールドワイド・スーパーガール,ワールドワイド・スーパーガール,42,オリジナル,2011/07/06,Populus Populus,Populus_Populus_3rd_Full_Album_20110706,,,,,,,,,
43,CAPACITY超える,CAPACITY超える,43,オリジナル,2011/07/06,Populus Populus,Populus_Populus_3rd_Full_Album_20110706,,,,,,,,,
44,場違いハミングバード,場違いハミングバード,44,オリジナル,2011/07/06,Populus Populus,Populus_Populus_3rd_Full_Album_20110706,,,,,,,,,
45,未完成デイジー,未完成デイジー,45,オリジナル,2011/07/06,Populus Populus,Populus_Populus_3rd_Full_Album_20110706,,,,,,,,,
46,シュプレヒコール〜世界が終わる前に〜,シュプレヒコール〜世界が終わる前に〜,46,オリジナル,2011/07/06,Populus Populus,Populus_Populus_3rd_Full_Album_20110706,,,,,,,,,
47,流星のスコール,流星のスコール,47,オリジナル,2012/07/25,流星のスコール,RyuuseiNoSquall6th_Single_20120725,,,,,,,,,
48,さよならサマータイムマシン,さよならサマータイムマシン,48,オリジナル,2012/07/25,流星のスコール,RyuuseiNoSquall6th_Single_20120725,,,,,,,,,
49,誰かが忘れているかもしれない僕らに大事な001 のこと,誰かが忘れているかもしれない僕らに大事な001 のこと,49,オリジナル,2012/07/25,流星のスコール,RyuuseiNoSquall6th_Single_20120725,,,,,,,,,
50,フルカラープログラム,フルカラープログラム,50,オリジナル,2012/07/25,流星のスコール,RyuuseiNoSquall6th_Single_20120725,,,,,,,,,
51,リニアブルーを聴きながら,リニアブルーを聴きながら,51,オリジナル,2012/09/19,リニアブルーを聴きながら,LinearBlue_7th_Single_20120919,,,,,,,,,
52,さわれない歌,さわれない歌,52,オリジナル,2012/09/19,リニアブルーを聴きながら,LinearBlue_7th_Single_20120919,,,,,,,,,
53,三日月の夜の真ん中,三日月の夜の真ん中,53,オリジナル,2012/09/19,リニアブルーを聴きながら,LinearBlue_7th_Single_20120919,,,,,,,,,
54,ラブソングは突然に ~What is the name of that mystery?~,ラブソングは突然に ~What is the name of that mystery?~,54,オリジナル,2012/09/19,リニアブルーを聴きながら,LinearBlue_7th_Single_20120919,,ラブソングは突然に〜What is the name of that mystery?〜,,,,,,,
55,to the CIDER ROAD,to the CIDER ROAD,55,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
56,ため息 shooting the MOON,ため息 shooting the MOON,56,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
57,like coffeeのおまじない,like coffeeのおまじない,57,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
58,お人好しカメレオン,お人好しカメレオン,58,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
59,光のどけき春の日に,光のどけき春の日に,59,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
60,クロスハート1号線(advantage in a long time),クロスハート1号線(advantage in a long time),60,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
61,セレナーデが止まらない,セレナーデが止まらない,61,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
62,Miss.サンディ,Miss.サンディ,62,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
63,crazy birthday,crazy birthday,63,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
64,君はともだち,君はともだち,64,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
65,シャンデリア・ワルツ,シャンデリア・ワルツ,65,オリジナル,2013/02/06,CIDER ROAD,CIDERROAD_4th_Album_20130206,,,,,,,,,
66,桜のあと (all quartets lead to the?),桜のあと (all quartets lead to the?),66,オリジナル,2013/11/06,桜のあと（all quartets lead to the?）,SakuraNo_8th_Single_20131106,,桜のあと(all quartets lead to the?),,,,,,,
67,ノンフィクションコンパス,ノンフィクションコンパス,67,オリジナル,2013/11/06,桜のあと（all quartets lead to the?）,SakuraNo_8th_Single_20131106,,,,,,,,,
68,セク × カラ × シソンズール,セク × カラ × シソンズール,68,オリジナル,2013/11/06,桜のあと（all quartets lead to the?）,SakuraNo_8th_Single_20131106,,セク×カラ×シソンズール,,,,,,,
69,harmonized finale,harmonized finale,69,オリジナル,2014/02/05,harmonized finale,harmonizedfinale_9th_Single_20140205,,,,,,,,,
70,ピストルギャラクシー,ピストルギャラクシー,70,オリジナル,2014/02/05,harmonized finale,harmonizedfinale_9th_Single_20140205,,,,,,,,,
71,三月物語,三月物語,71,オリジナル,2014/02/05,harmonized finale,harmonizedfinale_9th_Single_20140205,,,,,,,,,
72,I wanna believe、夜を行く,I wanna believe、夜を行く,72,オリジナル,2014/02/05,harmonized finale,harmonizedfinale_9th_Single_20140205,,,,,,,,,
73,サイレンインザスパイ,サイレンインザスパイ,73,オリジナル,2014/08/27,Catcher In The Spy,CatcherInTheSpy_5th_Album_20140827,,,,,,,,,
74,シューゲイザースピーカー,シューゲイザースピーカー,74,オリジナル,2014/08/27,Catcher In The Spy,CatcherInTheSpy_5th_Album_20140827,,,,,,,,,
75,蒙昧termination,蒙昧termination,75,オリジナル,2014/08/27,Catcher In The Spy,CatcherInTheSpy_5th_Album_20140827,,,,,,,,,
76,君が大人になってしまう前に,君が大人になってしまう前に,76,オリジナル,2014/08/27,Catcher In The Spy,CatcherInTheSpy_5th_Album_20140827,,,,,,,,,
77,メカトル時空探検隊,メカトル時空探検隊,77,オリジナル,2014/08/27,Catcher In The Spy,CatcherInTheSpy_5th_Album_20140827,,,,,,,,,
78,流れ星を撃ち落せ,流れ星を撃ち落せ,78,オリジナル,2014/08/27,Catcher In The Spy,CatcherInTheSpy_5th_Album_20140827,,,,,,,,,
79,何かが変わりそう,何かが変わりそう,79,オリジナル,2014/08/27,Catcher In The Spy,CatcherInTheSpy_5th_Album_20140827,,,,,,,,,
80,天国と地獄,天国と地獄,80,オリジナル,2014/08/27,Catcher In The Spy,CatcherInTheSpy_5th_Album_20140827,,,,,,,,,
81,instant EGOIST,instant EGOIST,81,オリジナル,2014/08/27,Catcher In The Spy,CatcherInTheSpy_5th_Album_20140827,,,,,,,,,
82,黄昏インザスパイ,黄昏インザスパイ,82,オリジナル,2014/08/27,Catcher In The Spy,CatcherInTheSpy_5th_Album_20140827,,,,,,,,,
83,シュガーソングとビターステップ,シュガーソングとビターステップ,83,オリジナル,2015/05/20,シュガーソングとビターステップ,SugarSongAnd_10th_Single_20150520,,,,,,,,,
84,シグナルABC,シグナルABC,84,オリジナル,2015/05/20,シュガーソングとビターステップ,SugarSongAnd_10th_Single_20150520,,,,,,,,,
85,東京シナリオ,東京シナリオ,85,オリジナル,2015/05/20,シュガーソングとビターステップ,SugarSongAnd_10th_Single_20150520,,,,,,,,,
86,アンドロメダ,アンドロメダ,86,オリジナル,2015/07/22,DUGOUT ACCIDENT,DUGOUTACCIDENT_20150722,,,,,,,,,
87,フルカラープログラム（D.A style）,フルカラープログラム,50,style,2015/07/22,DUGOUT ACCIDENT,DUGOUTACCIDENT_20150722,,,,,,,,,
88,徹頭徹尾夜な夜なドライブ,徹頭徹尾夜な夜なドライブ,88,オリジナル,2015/07/22,DUGOUT ACCIDENT,DUGOUTACCIDENT_20150722,,,,,,,,,
89,ガリレオのショーケース（D.A style）,ガリレオのショーケース,3,style,2015/07/22,DUGOUT ACCIDENT,DUGOUTACCIDENT_20150722,,ガリレオのショーケース (D.A style),,,,,,,
90,"""23:25（D.A mix）""","""23:25""",29,mix,2015/07/22,DUGOUT ACCIDENT,DUGOUTACCIDENT_20150722,,,,,,,,,
91,夕凪、アンサンブル,夕凪、アンサンブル,91,オリジナル,2015/07/22,DUGOUT ACCIDENT,DUGOUTACCIDENT_20150722,,,,,,,,,
92,"kid, I like quartet（D.A mix）","kid, I like quartet",38,mix,2015/07/22,DUGOUT ACCIDENT,DUGOUTACCIDENT_20150722,,,,,,,,,
